,keras,hex,aims_category,keras_category,torch_category,docs,description
0,AbstractRNNCell,#f1e2cc,Sequential,Recurrent Layers,,https://www.tensorflow.org/api_docs/python/tf/keras/layers/AbstractRNNCell,This is the base class for implementing RNN cells with custom behavior.
1,Activation,,Activation,Core Layers,,https://keras.io/api/layers/core_layers/activation/,Applies an activation function to an output.
2,ActivityRegularization,#cbd5e8,Regularization,Regularization Layers,,https://keras.io/api/layers/regularization_layers/activity_regularization/,Layer that applies an update to the cost function based input activity.
3,Add,,Tensor operation,Merging Layer,,https://keras.io/api/layers/merging_layers/add/,"Layer that adds a list of inputs. It takes as input a list of tensors, all of the same shape, and returns a single tensor (also of the same shape)."
4,AdditiveAttention,#f4cae4,Transformer,Attention Layers,,https://keras.io/api/layers/attention_layers/additive_attention/,"Additive attention layer, a.k.a. Bahdanau-style attention."
5,AlphaDropout,#cbd5e8,Regularization,Regularization Layers,,https://keras.io/api/layers/regularization_layers/alpha_dropout/,"Applies Alpha Dropout to the input. Alpha Dropout is a Dropout that keeps mean and variance of inputs to their original values, in order to ensure the self-normalizing property even after this dropout. Alpha Dropout fits well to Scaled Exponential Linear Units by randomly setting activations to the negative saturation value."
6,Attention,#f4cae4,Transformer,Attention Layers,,https://keras.io/api/layers/attention_layers/attention/,"Dot-product attention layer, a.k.a. Luong-style attention."
7,Average,,Tensor operation,Merging Layer,,https://keras.io/api/layers/merging_layers/average/,"Layer that averages a list of inputs element-wise. It takes as input a list of tensors, all of the same shape, and returns a single tensor (also of the same shape)."
8,AveragePooling1D,#e6f5c9,Pooling,Pooling Layers,,https://keras.io/api/layers/pooling_layers/average_pooling1d/,"Average pooling for temporal data. Downsamples the input representation by taking the average value over the window defined by pool_size. The window is shifted by strides. The resulting output when using ""valid"" padding option has a shape of: output_shape = (input_shape - pool_size + 1) / strides). The resulting output shape when using the ""same"" padding option is: output_shape = input_shape / strides."
9,AveragePooling2D,#e6f5c9,Pooling,Pooling Layers,,https://keras.io/api/layers/pooling_layers/average_pooling2d/,"Average pooling operation for spatial data. Downsamples the input along its spatial dimensions (height and width) by taking the average value over an input window (of size defined by pool_size) for each channel of the input. The window is shifted by strides along each dimension. The resulting output when using ""valid"" padding option has a shape (number of rows or columns) of: output_shape = math.floor((input_shape - pool_size) / strides) + 1 (when input_shape >= pool_size). The resulting output shape when using the ""same"" padding option is: output_shape = math.floor((input_shape - 1) / strides) + 1."
