,pytorch,hex
0,AdaptiveAvgPool1d,#e6f5c9
1,AdaptiveAvgPool2d,#e6f5c9
2,AdaptiveAvgPool3d,#e6f5c9
3,AdaptiveMaxPool1d,#e6f5c9
4,AdaptiveMaxPool2d,#e6f5c9
5,AdaptiveMaxPool3d,#e6f5c9
6,AlphaDropout,#cbd5e8
7,AvgPool1d,#e6f5c9
8,AvgPool2d,#e6f5c9
9,AvgPool3d,#e6f5c9
10,BatchNorm1d,#cbd5e8
11,BatchNorm2d,#cbd5e8
12,BatchNorm3d,#cbd5e8
13,Bilinear,
14,ConstantPad1d,#cccccc
15,ConstantPad2d,#cccccc
16,ConstantPad3d,#cccccc
17,Container,
18,Conv1d,#fdcdac
19,Conv2d,#fdcdac
20,Conv3d,#fdcdac
21,ConvTranspose1d,#fdcdac
22,ConvTranspose2d,#fdcdac
23,ConvTranspose3d,#fdcdac
24,CosineSimilarity,
25,CrossMapLRN2d,
26,DataParallel,
27,Dropout,#cbd5e8
28,Dropout2d,#cbd5e8
29,Dropout3d,#cbd5e8
30,Embedding,#b3e2cd
31,EmbeddingBag,#b3e2cd
32,FeatureAlphaDropout,#cbd5e8
33,Flatten,
34,Fold,
35,FractionalMaxPool2d,#e6f5c9
36,FractionalMaxPool3d,#e6f5c9
37,GRU,#f1e2cc
38,GRUCell,#f1e2cc
39,GroupNorm,
40,Identity,
41,InstanceNorm1d,#cbd5e8
42,InstanceNorm2d,#cbd5e8
43,InstanceNorm3d,#cbd5e8
44,LPPool1d,#e6f5c9
45,LPPool2d,#e6f5c9
46,LSTM,#f1e2cc
47,LSTMCell,#f1e2cc
48,LayerNorm,
49,Linear,#fff2ae
50,LocalResponseNorm,
51,MaxPool1d,#e6f5c9
52,MaxPool2d,#e6f5c9
53,MaxPool3d,#e6f5c9
54,MaxUnpool1d,#e6f5c9
55,MaxUnpool2d,#e6f5c9
56,MaxUnpool3d,#e6f5c9
57,Module,
58,ModuleDict,
59,ModuleList,
60,PairwiseDistance,
61,Parameter,
62,ParameterDict,
63,ParameterList,
64,PixelShuffle,
65,RNN,#f1e2cc
66,RNNBase,#f1e2cc
67,RNNCell,#f1e2cc
68,RNNCellBase,#f1e2cc
69,ReflectionPad1d,#cccccc
70,ReflectionPad2d,#cccccc
71,ReplicationPad1d,#cccccc
72,ReplicationPad2d,#cccccc
73,ReplicationPad3d,#cccccc
74,Sequential,
75,SyncBatchNorm,
76,Transformer,#f4cae4
77,TransformerDecoder,#f4cae4
78,TransformerDecoderLayer,#f4cae4
79,TransformerEncoder,#f4cae4
80,TransformerEncoderLayer,#f4cae4
81,Unfold,
82,Upsample,
83,UpsamplingBilinear2d,
84,UpsamplingNearest2d,
85,ZeroPad2d,#cccccc
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
