,pytorch,hex,aims_category,docs,description
0,AdaptiveAvgPool1d,#e6f5c9,Pooling,https://pytorch.org/docs/stable/generated/torch.nn.AdaptiveAvgPool1d,Applies a 1D adaptive average pooling over an input signal composed of several input planes. The output size is L_{out} for any input size. The number of output features is equal to the number of input planes.
1,AdaptiveAvgPool2d,#e6f5c9,Pooling,https://pytorch.org/docs/stable/generated/torch.nn.AdaptiveAvgPool2d,"Applies a 2D adaptive average pooling over an input signal composed of several input planes. The output is of size H x W, for any input size. The number of output features is equal to the number of input planes."
2,AdaptiveAvgPool3d,#e6f5c9,Pooling,https://pytorch.org/docs/stable/generated/torch.nn.AdaptiveAvgPool3d,"Applies a 3D adaptive average pooling over an input signal composed of several input planes. The output is of size D x H x W, for any input size. The number of output features is equal to the number of input planes."
3,AdaptiveMaxPool1d,#e6f5c9,Pooling,https://pytorch.org/docs/stable/generated/torch.nn.AdaptiveMaxPool1d,Applies a 1D adaptive max pooling over an input signal composed of several input planes. The output size is L_{out} for any input size. The number of output features is equal to the number of input planes.
4,AdaptiveMaxPool2d,#e6f5c9,Pooling,https://pytorch.org/docs/stable/generated/torch.nn.AdaptiveMaxPool2d,"Applies a 2D adaptive max pooling over an input signal composed of several input planes. The output is of size H x W, for any input size. The number of output features is equal to the number of input planes."
5,AdaptiveMaxPool3d,#e6f5c9,Pooling,https://pytorch.org/docs/stable/generated/torch.nn.AdaptiveMaxPool3d,"Applies a 3D adaptive max pooling over an input signal composed of several input planes. The output is of size D x H x W, for any input size. The number of output features is equal to the number of input planes."
6,AlphaDropout,#cbd5e8,Regularization,https://pytorch.org/docs/stable/generated/torch.nn.AlphaDropout,"Applies Alpha Dropout over the input. Alpha Dropout is a type of Dropout that maintains the self-normalizing property. For an input with zero mean and unit standard deviation, the output of Alpha Dropout maintains the original mean and standard deviation of the input. Alpha Dropout goes hand-in-hand with SELU activation function, which ensures that the outputs have zero mean and unit standard deviation. During training, it randomly masks some of the elements of the input tensor with probability p using samples from a bernoulli distribution. The elements to masked are randomized on every forward call, and scaled and shifted to maintain zero mean and unit standard deviation. During evaluation the module simply computes an identity function."
7,AvgPool1d,#e6f5c9,Pooling,https://pytorch.org/docs/stable/generated/torch.nn.AvgPool1d,Applies a 1D average pooling over an input signal composed of several input planes.
8,AvgPool2d,#e6f5c9,Pooling,https://pytorch.org/docs/stable/generated/torch.nn.AvgPool2d,Applies a 2D average pooling over an input signal composed of several input planes.
9,AvgPool3d,#e6f5c9,Pooling,https://pytorch.org/docs/stable/generated/torch.nn.AvgPool3d,Applies a 3D average pooling over an input signal composed of several input planes.
10,BatchNorm1d,#b3e2cd,Normalization,https://pytorch.org/docs/stable/generated/torch.nn.BatchNorm1d,Applies Batch Normalization over a 2D or 3D input as described in the paper Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift.
11,BatchNorm2d,#b3e2cd,Normalization,https://pytorch.org/docs/stable/generated/torch.nn.BatchNorm2d,Applies Batch Normalization over a 4D input (a mini-batch of 2D inputs with additional channel dimension) as described in the paper Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift.
12,BatchNorm3d,#b3e2cd,Normalization,https://pytorch.org/docs/stable/generated/torch.nn.BatchNorm3d,Applies Batch Normalization over a 5D input (a mini-batch of 3D inputs with additional channel dimension) as described in the paper Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift.
13,Bilinear,None,Preprocessing,https://pytorch.org/docs/stable/generated/torch.nn.Bilinear,Applies a bilinear transformation to the incoming data.
14,ConstantPad1d,#cccccc,Reshaping Layer,https://pytorch.org/docs/stable/generated/torch.nn.ConstantPad1d,Pads the input tensor boundaries with a constant value.
15,ConstantPad2d,#cccccc,Reshaping Layer,https://pytorch.org/docs/stable/generated/torch.nn.ConstantPad2d,Pads the input tensor boundaries with a constant value.
16,ConstantPad3d,#cccccc,Reshaping Layer,https://pytorch.org/docs/stable/generated/torch.nn.ConstantPad3d,Pads the input tensor boundaries with a constant value.
17,Container,None,None,https://pytorch.org/docs/stable/nn.html#containers,
18,Conv1d,#fdcdac,Convolution,https://pytorch.org/docs/stable/generated/torch.nn.Conv1d,Applies a 1D convolution over an input signal composed of several input planes.
19,Conv2d,#fdcdac,Convolution,https://pytorch.org/docs/stable/generated/torch.nn.Conv2d,Applies a 2D convolution over an input signal composed of several input planes.
20,Conv3d,#fdcdac,Convolution,https://pytorch.org/docs/stable/generated/torch.nn.Conv3d,Applies a 3D convolution over an input signal composed of several input planes.
21,ConvTranspose1d,#fdcdac,Convolution,https://pytorch.org/docs/stable/generated/torch.nn.ConvTranspose1d,"Applies a 1D transposed convolution operator over an input image composed of several input planes. This module can be seen as the gradient of Conv1d with respect to its input. It is also known as a fractionally-strided convolution or a deconvolution (although it is not an actual deconvolution operation as it does not compute a true inverse of convolution). For more information, see the visualizations here and the Deconvolutional Networks paper."
22,ConvTranspose2d,#fdcdac,Convolution,https://pytorch.org/docs/stable/generated/torch.nn.ConvTranspose2d,"Applies a 2D transposed convolution operator over an input image composed of several input planes. This module can be seen as the gradient of Conv2d with respect to its input. It is also known as a fractionally-strided convolution or a deconvolution (although it is not an actual deconvolution operation as it does not compute a true inverse of convolution). For more information, see the visualizations here and the Deconvolutional Networks paper."
23,ConvTranspose3d,#fdcdac,Convolution,https://pytorch.org/docs/stable/generated/torch.nn.ConvTranspose3d,"Applies a 3D transposed convolution operator over an input image composed of several input planes. The transposed convolution operator multiplies each input value element-wise by a learnable kernel, and sums over the outputs from all input feature planes. This module can be seen as the gradient of Conv3d with respect to its input. It is also known as a fractionally-strided convolution or a deconvolution (although it is not an actual deconvolution operation as it does not compute a true inverse of convolution). For more information, see the visualizations here and the Deconvolutional Networks paper."
24,CosineSimilarity,None,None,https://pytorch.org/docs/stable/generated/torch.nn.functional.cosine_similarity,"Returns cosine similarity between x1 and x2, computed along dim."
25,CrossMapLRN2d,#b3e2cd,Normalization,https://pytorch.org/cppdocs/api/classtorch_1_1nn_1_1_cross_map_l_r_n2d,A ModuleHolder subclass for CrossMapLRN2dImpl.
26,DataParallel,None,None,https://pytorch.org/docs/stable/generated/torch.nn.DataParallel,"Implements data parallelism at the module level. This container parallelizes the application of the given module by splitting the input across the specified devices by chunking in the batch dimension (other objects will be copied once per device). In the forward pass, the module is replicated on each device, and each replica handles a portion of the input. During the backwards pass, gradients from each replica are summed into the original module. The batch size should be larger than the number of GPUs used."
27,Dropout,#cbd5e8,Regularization,https://pytorch.org/docs/stable/generated/torch.nn.Dropout,"During training, randomly zeroes some of the elements of the input tensor with probability p using samples from a Bernoulli distribution. Each channel will be zeroed out independently on every forward call. This has proven to be an effective technique for regularization and preventing the co-adaptation of neurons as described in the paper Improving neural networks by preventing co-adaptation of feature detectors ."
28,Dropout2d,#cbd5e8,Regularization,https://pytorch.org/docs/stable/generated/torch.nn.Dropout2d,"Randomly zero out entire channels (a channel is a 2D feature map, e.g., the jj-th channel of the ii-th sample in the batched input is a 2D tensor \text{input}[i, j]input[i,j]). Each channel will be zeroed out independently on every forward call with probability p using samples from a Bernoulli distribution. Usually the input comes from nn.Conv2d modules. As described in the paper Efficient Object Localization Using Convolutional Networks , if adjacent pixels within feature maps are strongly correlated (as is normally the case in early convolution layers) then i.i.d. dropout will not regularize the activations and will otherwise just result in an effective learning rate decrease."
